id,title,body,rating,state,customer_id,book_id,created_at,updated_at
90,Hammock before they sold out sriracha offal pork belly poutine.,Listicle cronut artisan. Squid godard kogi. Plaid muggle magic vhs intelligentsia.,1,0,10,5,2019-01-24 12:10:28.376508,2019-01-24 12:10:28.376508
91,Put a bird on it lo-fi art party pbr&b tofu schlitz.,Tilde gastropub fanny pack plaid. Craft beer wayfarers bespoke church-key freegan 3 wolf moon iphone. Messenger bag echo irony helvetica pop-up.,4,0,8,9,2019-01-24 12:10:28.378728,2019-01-24 12:10:28.378728
92,Retro ramps 8-bit fingerstache phlogiston mixtape.,Stumptown health marfa wayfarers mixtape meggings everyday drinking. Offal hella phlogiston organic mustache banh mi. Tousled migas pbr&b meh you probably haven't heard of them venmo shabby chic cred.,5,2,9,16,2019-01-24 12:10:28.380942,2019-01-24 12:10:28.380942
93,Stumptown farm-to-table bicycle rights yolo before they sold out.,Shoreditch truffaut tote bag. Neutra meh gluten-free. Readymade cred waistcoat yolo ramps. Squid lo-fi single-origin coffee. Mumblecore scenester fanny pack stumptown lo-fi.,4,2,6,15,2019-01-24 12:10:28.388277,2019-01-24 12:10:28.388277
94,Williamsburg direct trade synth stumptown cliche taxidermy vinegar iphone single-origin coffee.,Art party kickstarter hoodie blue bottle goth. Next level blue bottle portland disrupt intelligentsia banh mi. Austin you probably haven't heard of them lomo paleo tote bag meggings.,2,2,5,17,2019-01-24 12:10:28.392132,2019-01-24 12:10:28.392132
95,Yuccie tofu 8-bit plaid kitsch actually marfa.,Dreamcatcher 90's locavore quinoa loko bespoke meditation. Wes anderson green juice ennui flexitarian. Stumptown bitters thundercats photo booth single-origin coffee. Diy pinterest bicycle rights cornhole actually.,3,1,5,8,2019-01-24 12:10:28.395575,2019-01-24 12:10:28.395575
96,Celiac tattooed meggings selfies brunch intelligentsia artisan irony flannel.,Pinterest post-ironic mlkshk selvage put a bird on it yuccie slow-carb ramps. Cliche vhs vice pabst carry cornhole selvage. Five dollar toast keffiyeh carry mumblecore narwhal crucifix kale chips brunch. Kombucha chia jean shorts health marfa typewriter. Cold-pressed irony kombucha pug sartorial.,1,1,14,10,2019-01-24 12:10:28.398254,2019-01-24 12:10:28.398254
97,Cardigan lomo everyday small batch church-key occupy locavore.,Craft beer ramps jean shorts thundercats. Salvia fixie mlkshk street iphone. Helvetica blog trust fund. Normcore intelligentsia cliche yr stumptown.,3,2,3,3,2019-01-24 12:10:28.400407,2019-01-24 12:10:28.400407
98,Freegan cornhole farm-to-table salvia squid ramps master vinegar.,Paleo thundercats cornhole put a bird on it food truck. Pop-up tousled squid ethical normcore chicharrones beard mixtape. Bespoke migas tilde occupy cronut.,3,2,3,17,2019-01-24 12:10:28.402545,2019-01-24 12:10:28.402545
99,Organic sustainable chia brunch.,Biodiesel skateboard portland. Diy small batch direct trade kickstarter freegan. Lumbersexual yr hashtag lomo you probably haven't heard of them biodiesel try-hard sustainable. Bicycle rights craft beer jean shorts seitan aesthetic.,1,2,14,4,2019-01-24 12:10:28.404601,2019-01-24 12:10:28.404601
100,Yr forage cornhole asymmetrical.,Art party chillwave blue bottle selvage disrupt loko beard kickstarter. Butcher thundercats cornhole hammock. Fashion axe wes anderson dreamcatcher cleanse distillery master. Sartorial locavore migas bushwick raw denim organic keytar. Dreamcatcher artisan pickled bitters plaid.,3,0,14,14,2019-01-24 12:10:28.406959,2019-01-24 12:10:28.406959
101,Vegan narwhal next level polaroid cred taxidermy cornhole wolf.,Butcher roof mlkshk lomo tilde. Messenger bag semiotics fingerstache pabst listicle kitsch goth. Tofu seitan meditation mlkshk biodiesel migas vinyl raw denim. Kinfolk helvetica whatever.,4,1,9,2,2019-01-24 12:10:28.409055,2019-01-24 12:10:28.409055
102,Retro cleanse 90's knausgaard.,Vinyl echo church-key everyday. Salvia chambray brunch plaid deep v bushwick. Gastropub yuccie retro keffiyeh 3 wolf moon meditation single-origin coffee schlitz. Asymmetrical selfies wolf neutra park.,1,2,1,13,2019-01-24 12:10:28.411207,2019-01-24 12:10:28.411207
103,Seitan hashtag cornhole viral pbr&b flexitarian.,Distillery post-ironic fixie raw denim vegan. Migas tofu pinterest. Paleo knausgaard cleanse everyday slow-carb pinterest mixtape.,5,1,5,16,2019-01-24 12:10:28.413297,2019-01-24 12:10:28.413297
104,Forage trust fund small batch pitchfork synth.,Phlogiston master health actually pug. Cronut neutra synth art party selvage franzen shabby chic pabst. Heirloom shoreditch farm-to-table plaid portland hoodie photo booth.,4,1,2,9,2019-01-24 12:10:28.415410,2019-01-24 12:10:28.415410
105,Celiac before they sold out vhs poutine kickstarter tilde offal diy.,Cray fingerstache mustache swag hammock. Viral whatever artisan poutine bespoke. Tacos street lomo. Pinterest green juice mustache shabby chic fixie pork belly.,1,2,9,8,2019-01-24 12:10:28.417740,2019-01-24 12:10:28.417740
